DL,FE Layer,Feature Dim,ML,Accuracy,Precision,Recall,F1,F1 Macro,F1 Weighted,ROC-AUC,CV Fit (s),CV Score (s),Total (s),FE Time (s),Train+Test (s)
resnet101,conv5_block3_out,2048,SVM (RBF),0.9886666666666668,0.9861523205232864,0.9913333333333334,0.9887005833154168,0.9886661351453104,0.9886661351453104,0.99902,144.10864305496216,19.95021629333496,87.91177642299999,35.98538757699998,164.06
resnet101,conv5_block3_out,2048,Random Forest,0.975,0.9742075186540952,0.976,0.9750456811812596,0.9749984581799592,0.9749984581799592,0.9968966666666668,148.62132287025452,1.2650361061096191,83.09371095899996,35.98538757699998,149.89
resnet101,conv5_block3_out,2048,XGBoost,0.9766666666666666,0.9761463267831182,0.9773333333333334,0.9766933519821868,0.9766655702376787,0.9766655702376787,0.9966044444444444,231.1875400543213,0.2490890026092529,130.98797538200006,35.98538757699998,231.44
resnet101,conv5_block3_out,2048,KNN (k=5),0.983,0.9892694865211104,0.9766666666666666,0.9828892055070544,0.9829986655360696,0.9829986655360696,0.9928844444444443,0.6809346675872803,3.938583850860596,2.624210042999948,35.98538757699998,4.62
resnet101,conv5_block3_out,2048,Logistic Regression,0.986,0.9867275768730656,0.9853333333333334,0.9859984224629904,0.9859995351514836,0.9859995351514836,0.9954,1.7402188777923584,0.2334692478179931,1.225076663999971,35.98538757699998,1.97
densenet121,relu,1024,SVM (RBF),0.988,0.986815687627612,0.9893333333333332,0.9880326778947236,0.987999336930362,0.987999336930362,0.9990644444444444,44.74783229827881,8.61117959022522,29.52162100800024,47.33999960599999,53.36
densenet121,relu,1024,Random Forest,0.979,0.9762619443138044,0.982,0.9790826346847956,0.9789987322272508,0.9789987322272508,0.9979388888888888,122.75752592086792,1.241865158081055,69.25916714799996,47.33999960599999,124.0
densenet121,relu,1024,XGBoost,0.9803333333333336,0.9768896889532084,0.984,0.9804143117877484,0.980332639764118,0.9803326397641182,0.9970511111111112,90.40842843055724,0.26277756690979,50.39758762100018,47.33999960599999,90.67
densenet121,relu,1024,KNN (k=5),0.9826666666666668,0.9859433531529443,0.9793333333333332,0.9826083565570948,0.9826661388476045,0.9826661388476042,0.9949344444444445,0.4003827571868896,2.326603889465332,1.4607952850001311,47.33999960599999,2.73
densenet121,relu,1024,Logistic Regression,0.986,0.9853812872139164,0.9866666666666668,0.9860008005053232,0.985999690724572,0.985999690724572,0.9977,0.8844466209411621,0.1709535121917724,0.7162310409999009,47.33999960599999,1.06
